,station,date_only,hour,pollutant,error_type
567,londonrdaurn,2014/07/11,12,NOx,negative
569,londonrdaurn,2014/07/11,12,NOx,negative
579,londonrdaurn,2014/07/11,13,NOx,negative
589,londonrdaurn,2014/07/11,14,NOx,negative
707,londonrdaurn,2014/07/08,14,NOx,negative
712,londonrdaurn,2014/07/08,14,NOx,negative
717,londonrdaurn,2014/07/08,15,NOx,negative
718,londonrdaurn,2014/07/08,15,NOx,negative
722,londonrdaurn,2014/07/08,15,NOx,negative
733,londonrdaurn,2014/07/08,16,NOx,negative
736,londonrdaurn,2014/07/08,16,NOx,negative
748,londonrdaurn,2014/07/08,17,NOx,negative
759,londonrdaurn,2014/07/08,18,NOx,negative
768,londonrdaurn,2014/07/08,18,NOx,negative
776,londonrdaurn,2014/07/08,19,NOx,negative
783,londonrdaurn,2014/07/08,20,NOx,negative
788,londonrdaurn,2014/07/08,20,NOx,negative
791,londonrdaurn,2014/07/08,20,NOx,negative
796,londonrdaurn,2014/07/08,20,NOx,negative
805,londonrdaurn,2014/07/08,21,NOx,negative
816,londonrdaurn,2014/07/08,22,NOx,negative
819,londonrdaurn,2014/07/08,22,NOx,negative
823,londonrdaurn,2014/07/08,22,NOx,negative
829,londonrdaurn,2014/07/08,23,NOx,negative
830,londonrdaurn,2014/07/08,23,NOx,negative
834,londonrdaurn,2014/07/08,23,NOx,negative
837,londonrdaurn,2014/07/08,23,NOx,negative
840,londonrdaurn,2014/07/09,00,NOx,negative
846,londonrdaurn,2014/07/09,00,NOx,negative
848,londonrdaurn,2014/07/09,00,NOx,negative
850,londonrdaurn,2014/07/09,00,NOx,negative
857,londonrdaurn,2014/07/09,01,NOx,negative
860,londonrdaurn,2014/07/09,01,NOx,negative
863,londonrdaurn,2014/07/09,01,NOx,negative
865,londonrdaurn,2014/07/09,01,NOx,negative
871,londonrdaurn,2014/07/09,02,NOx,negative
873,londonrdaurn,2014/07/09,02,NOx,negative
877,londonrdaurn,2014/07/09,02,NOx,negative
887,londonrdaurn,2014/07/09,03,NOx,negative
934,londonrdaurn,2014/07/09,06,NOx,negative
958,londonrdaurn,2014/07/09,08,NOx,negative
960,londonrdaurn,2014/07/09,08,NOx,negative
963,londonrdaurn,2014/07/09,08,NOx,negative
965,londonrdaurn,2014/07/09,09,NOx,negative
970,londonrdaurn,2014/07/09,09,NOx,negative
975,londonrdaurn,2014/07/09,09,NOx,negative
976,londonrdaurn,2014/07/09,09,NOx,negative
981,londonrdaurn,2014/07/09,10,NOx,negative
986,londonrdaurn,2014/07/09,10,NOx,negative
1001,londonrdaurn,2014/07/09,11,NOx,negative
1012,londonrdaurn,2014/07/09,12,NOx,negative
1016,londonrdaurn,2014/07/09,12,NOx,negative
1022,londonrdaurn,2014/07/09,13,NOx,negative
1026,londonrdaurn,2014/07/09,13,NOx,negative
1030,londonrdaurn,2014/07/09,13,NOx,negative
1032,londonrdaurn,2014/07/09,13,NOx,negative
1035,londonrdaurn,2014/07/09,14,NOx,negative
1044,londonrdaurn,2014/07/09,14,NOx,negative
1047,londonrdaurn,2014/07/09,14,NOx,negative
1049,londonrdaurn,2014/07/09,15,NOx,negative
1056,londonrdaurn,2014/07/09,15,NOx,negative
1057,londonrdaurn,2014/07/09,15,NOx,negative
1060,londonrdaurn,2014/07/09,15,NOx,negative
1068,londonrdaurn,2014/07/09,16,NOx,negative
1071,londonrdaurn,2014/07/09,16,NOx,negative
1081,londonrdaurn,2014/07/09,17,NOx,negative
1082,londonrdaurn,2014/07/09,17,NOx,negative
1085,londonrdaurn,2014/07/09,17,NOx,negative
1089,londonrdaurn,2014/07/09,17,NOx,negative
1092,londonrdaurn,2014/07/09,18,NOx,negative
1096,londonrdaurn,2014/07/09,18,NOx,negative
1104,londonrdaurn,2014/07/09,18,NOx,negative
1148,londonrdaurn,2014/07/09,22,NOx,negative
1154,londonrdaurn,2014/07/09,22,NOx,negative
1157,londonrdaurn,2014/07/09,22,NOx,negative
1159,londonrdaurn,2014/07/09,22,NOx,negative
1165,londonrdaurn,2014/07/09,23,NOx,negative
1167,londonrdaurn,2014/07/09,23,NOx,negative
1169,londonrdaurn,2014/07/09,23,NOx,negative
1173,londonrdaurn,2014/07/09,23,NOx,negative
1179,londonrdaurn,2014/07/10,00,NOx,negative
1181,londonrdaurn,2014/07/10,00,NOx,negative
1185,londonrdaurn,2014/07/10,00,NOx,negative
1188,londonrdaurn,2014/07/10,00,NOx,negative
1193,londonrdaurn,2014/07/10,01,NOx,negative
1196,londonrdaurn,2014/07/10,01,NOx,negative
1199,londonrdaurn,2014/07/10,01,NOx,negative
1201,londonrdaurn,2014/07/10,01,NOx,negative
1209,londonrdaurn,2014/07/10,02,NOx,negative
1211,londonrdaurn,2014/07/10,02,NOx,negative
1291,londonrdaurn,2014/07/10,08,NOx,negative
1293,londonrdaurn,2014/07/10,08,NOx,negative
1307,londonrdaurn,2014/07/10,09,NOx,negative
1310,londonrdaurn,2014/07/10,09,NOx,negative
1313,londonrdaurn,2014/07/10,09,NOx,negative
1319,londonrdaurn,2014/07/10,10,NOx,negative
1321,londonrdaurn,2014/07/10,10,NOx,negative
1325,londonrdaurn,2014/07/10,10,NOx,negative
1327,londonrdaurn,2014/07/10,10,NOx,negative
1332,londonrdaurn,2014/07/10,11,NOx,negative
1334,londonrdaurn,2014/07/10,11,NOx,negative
1338,londonrdaurn,2014/07/10,11,NOx,negative
1340,londonrdaurn,2014/07/10,11,NOx,negative
1353,londonrdaurn,2014/07/10,12,NOx,negative
1355,londonrdaurn,2014/07/10,12,NOx,negative
1359,londonrdaurn,2014/07/10,13,NOx,negative
1367,londonrdaurn,2014/07/10,13,NOx,negative
1374,londonrdaurn,2014/07/10,14,NOx,negative
1381,londonrdaurn,2014/07/10,14,NOx,negative
1382,londonrdaurn,2014/07/10,14,NOx,negative
1387,londonrdaurn,2014/07/10,15,NOx,negative
1491,londonrdaurn,2014/07/10,22,NOx,negative
1496,londonrdaurn,2014/07/10,22,NOx,negative
1499,londonrdaurn,2014/07/10,23,NOx,negative
1502,londonrdaurn,2014/07/10,23,NOx,negative
1510,londonrdaurn,2014/07/10,23,NOx,negative
1511,londonrdaurn,2014/07/11,00,NOx,negative
1516,londonrdaurn,2014/07/11,00,NOx,negative
1519,londonrdaurn,2014/07/11,00,NOx,negative
1524,londonrdaurn,2014/07/11,00,NOx,negative
1528,londonrdaurn,2014/07/11,01,NOx,negative
1530,londonrdaurn,2014/07/11,01,NOx,negative
1534,londonrdaurn,2014/07/11,01,NOx,negative
1536,londonrdaurn,2014/07/11,01,NOx,negative
1540,londonrdaurn,2014/07/11,02,NOx,negative
1545,londonrdaurn,2014/07/11,02,NOx,negative
1548,londonrdaurn,2014/07/11,02,NOx,negative
1550,londonrdaurn,2014/07/11,02,NOx,negative
1555,londonrdaurn,2014/07/11,03,NOx,negative
1560,londonrdaurn,2014/07/11,03,NOx,negative
1626,londonrdaurn,2014/07/11,08,NOx,negative
1628,londonrdaurn,2014/07/11,08,NOx,negative
1632,londonrdaurn,2014/07/11,08,NOx,negative
1645,londonrdaurn,2014/07/11,09,NOx,negative
1650,londonrdaurn,2014/07/11,09,NOx,negative
1655,londonrdaurn,2014/07/11,10,NOx,negative
1664,londonrdaurn,2014/07/11,10,NOx,negative
1667,londonrdaurn,2014/07/11,11,NOx,negative
1670,londonrdaurn,2014/07/11,11,NOx,negative
1710,londonrdaurn,2014/07/11,14,NOx,negative
1711,londonrdaurn,2014/07/11,14,NOx,negative
1720,londonrdaurn,2014/07/11,15,NOx,negative
1723,londonrdaurn,2014/07/11,15,NOx,negative
1728,londonrdaurn,2014/07/11,15,NOx,negative
1737,londonrdaurn,2014/07/11,16,NOx,negative
1753,londonrdaurn,2014/07/11,17,NOx,negative
1858,londonrdaurn,2014/07/12,01,NOx,negative
1869,londonrdaurn,2014/07/12,01,NOx,negative
1876,londonrdaurn,2014/07/12,02,NOx,negative
1879,londonrdaurn,2014/07/12,02,NOx,negative
1883,londonrdaurn,2014/07/12,02,NOx,negative
2175,londonrdaurn,2014/07/12,23,NOx,negative
2176,londonrdaurn,2014/07/12,23,NOx,negative
2179,londonrdaurn,2014/07/13,00,NOx,negative
2186,londonrdaurn,2014/07/13,00,NOx,negative
2188,londonrdaurn,2014/07/13,00,NOx,negative
2191,londonrdaurn,2014/07/13,00,NOx,negative
2193,londonrdaurn,2014/07/13,01,NOx,negative
2199,londonrdaurn,2014/07/13,01,NOx,negative
2203,londonrdaurn,2014/07/13,01,NOx,negative
2205,londonrdaurn,2014/07/13,01,NOx,negative
2209,londonrdaurn,2014/07/13,02,NOx,negative
2213,londonrdaurn,2014/07/13,02,NOx,negative
2216,londonrdaurn,2014/07/13,02,NOx,negative
2218,londonrdaurn,2014/07/13,02,NOx,negative
2222,londonrdaurn,2014/07/13,03,NOx,negative
2227,londonrdaurn,2014/07/13,03,NOx,negative
2230,londonrdaurn,2014/07/13,03,NOx,negative
2234,londonrdaurn,2014/07/13,03,NOx,negative
2237,londonrdaurn,2014/07/13,04,NOx,negative
2242,londonrdaurn,2014/07/13,04,NOx,negative
2244,londonrdaurn,2014/07/13,04,NOx,negative
2248,londonrdaurn,2014/07/13,04,NOx,negative
2250,londonrdaurn,2014/07/13,05,NOx,negative
2255,londonrdaurn,2014/07/13,05,NOx,negative
2258,londonrdaurn,2014/07/13,05,NOx,negative
2262,londonrdaurn,2014/07/13,05,NOx,negative
2272,londonrdaurn,2014/07/13,06,NOx,negative
2369,londonrdaurn,2014/07/13,13,NOx,negative
2393,londonrdaurn,2014/07/13,15,NOx,negative
2401,londonrdaurn,2014/07/13,15,NOx,negative
2405,londonrdaurn,2014/07/13,16,NOx,negative
2420,londonrdaurn,2014/07/13,17,NOx,negative
2422,londonrdaurn,2014/07/13,17,NOx,negative
2425,londonrdaurn,2014/07/13,17,NOx,negative
2428,londonrdaurn,2014/07/13,17,NOx,negative
2435,londonrdaurn,2014/07/13,18,NOx,negative
2438,londonrdaurn,2014/07/13,18,NOx,negative
2439,londonrdaurn,2014/07/13,18,NOx,negative
