,station,date_only,error_type
0,guildhall,2014/09/03,some_slots
1,londonrdenc,2014/09/03,some_slots
2,londonrdenc,2014/09/21,some_slots
3,londonrdenc,2014/09/22,some_slots
4,guildhall,2014/09/26,some_slots
5,londonrdaurn,2014/09/26,some_slots
6,londonrdenc,2014/09/26,some_slots
7,guildhall,2014/09/27,some_slots
8,londonrdaurn,2014/09/27,some_slots
9,londonrdenc,2014/09/27,some_slots
10,guildhall,2014/10/22,some_slots
11,londonrdaurn,2014/10/26,some_slots
12,windsorbridge,2014/10/26,some_slots
13,londonrdaurn,2014/10/27,all_day
14,windsorbridge,2014/10/27,all_day
15,londonrdaurn,2014/10/28,all_day
16,windsorbridge,2014/10/28,all_day
17,londonrdaurn,2014/10/29,some_slots
18,windsorbridge,2014/10/29,some_slots
19,londonrdenc,2014/12/06,some_slots
20,londonrdenc,2014/12/07,all_day
21,londonrdenc,2014/12/08,all_day
22,windsorbridge,2014/12/08,some_slots
23,londonrdenc,2014/12/09,some_slots
24,windsorbridge,2014/12/13,some_slots
25,windsorbridge,2014/12/14,some_slots
26,windsorbridge,2014/12/16,some_slots
27,guildhall,2014/12/25,some_slots
28,all,2014/12/26,all_day
29,guildhall,2014/12/27,some_slots
30,londonrdaurn,2014/12/27,some_slots
31,londonrdenc,2014/12/27,some_slots
32,windsorbridge,2014/12/27,some_slots
33,guildhall,2014/12/31,some_slots
34,guildhall,2015/01/01,some_slots
35,guildhall,2015/01/02,some_slots
36,guildhall,2015/01/03,some_slots
37,londonrdaurn,2015/01/03,some_slots
38,londonrdenc,2015/01/03,some_slots
39,londonrdaurn,2015/01/19,some_slots
40,londonrdaurn,2015/01/20,some_slots
41,windsorbridge,2015/01/27,some_slots
42,windsorbridge,2015/01/28,all_day
43,windsorbridge,2015/01/29,all_day
44,windsorbridge,2015/01/30,all_day
45,windsorbridge,2015/01/31,all_day
46,windsorbridge,2015/02/01,all_day
47,windsorbridge,2015/02/02,all_day
48,guildhall,2015/02/03,some_slots
49,londonrdaurn,2015/02/03,some_slots
50,londonrdenc,2015/02/03,some_slots
51,windsorbridge,2015/02/03,all_day
52,all,2015/02/04,all_day
53,all,2015/02/05,all_day
54,all,2015/02/06,all_day
55,guildhall,2015/02/07,some_slots
56,londonrdaurn,2015/02/07,some_slots
57,londonrdenc,2015/02/07,some_slots
58,windsorbridge,2015/02/07,all_day
59,windsorbridge,2015/02/08,some_slots
